Ccode,Dcode,Scode,EntityName
20,65243,0118950,Sherman Thomas Charter High
20,65243,0134510,Sherman Thomas STEM Academy
20,75606,0125021,Minarets Charter High
20,75606,0132936,Chawanakee Academy Charter
20,76414,2030237,Glacier High School Charter
20,76414,6110076,Mountain Home Charter (Alternative)
21,10215,0135350,Ross Valley Charter
21,10215,2130102,Phoenix Academy
21,65417,6113229,Novato Charter
22,65532,0125823,Sierra Foothill Charter
23,65557,6116669,Pacific Community Charter
23,65565,0123737,Three Rivers Charter
23,65607,2330272,Eel River Charter
23,65615,0115055,River Oak Charter
23,65615,0140814,Shanél Valley Academy
23,65615,2330413,Redwood Collegiate Academy
23,65615,2330454,Sequoia Career Academy
23,65615,6117386,Tree of Life Charter
23,65623,0112300,La Vida Charter
23,65623,0125658,Willits Elementary Charter
23,65623,2330363,Willits Charter
24,10249,0106518,Merced Scholars Charter
24,10249,0138032,Come Back Charter
24,65649,6025381,Ballico-Cressey Community Charter
26,10264,0124990,Urban Corps of San Diego County Charter
27,10272,0112177,Monterey Bay Charter
27,10272,0116491,Open Door Charter
27,10272,0124297,Bay View Academy
27,10272,2730232,Monterey County Home Charter
27,10272,6119663,Oasis Charter Public
27,66092,2730240,Learning for Life Charter
27,66092,6118962,International School of Monterey
27,75150,0118349,Big Sur Charter
28,10280,0142034,Mayacamas Charter Middle
28,10280,0148361,Mayacamas Countywide Middle
28,66266,0108605,Stone Bridge
29,10298,0114314,Bitney Prep High
29,10298,0114322,Yuba River Charter
29,10298,0114330,Nevada City School of the Arts
29,10298,0126219,Forest Charter
29,10298,0126227,Twin Ridges Home Study Charter
29,10298,0130823,EPIC de Cesar Chavez
29,10298,2930147,John Muir Charter
29,66316,0125013,Chicago Park Community Charter
29,66332,6111140,Grass Valley Charter
29,66357,0124834,Sierra Academy of Expeditionary Learning
29,66373,0136424,Arete Charter Academy
29,66407,6027197,Union Hill Elementary
29,76877,6111371,Vantage Point Charter
30,10306,0126037,Samueli Academy
30,10306,0132613,Vista Heritage Global Academy
30,10306,0132910,College and Career Preparatory Academy
30,10306,0133785,Oxford Preparatory Academy - Saddleback Valley
30,10306,0133959,Unity Middle College High
30,10306,0133983,Ednovate - Legacy College Prep.
30,10306,0134056,Orange County Academy of Sciences and Arts
30,10306,0134239,Epic California Academy
30,10306,0134288,Scholarship Prep - Orange County
30,10306,0134841,Orange County Workforce Innovation High
30,10306,0134940,Citrus Springs Charter
30,10306,0137000,Vista Condor Global Academy
30,10306,0137976,Tomorrow's Leadership Collaborative (TLC) Charter
30,10306,0138800,Suncoast Preparatory Academy
30,10306,0139352,Sycamore Creek Community Charter
30,10306,0139469,International School for Science and Culture
30,10306,0139964,Orange County Classical Academy
30,10306,0140822,Irvine International Academy
30,10306,0141978,Vista Meridian Global Academy
30,10306,0142000,Explore Academy
30,10306,0142026,Oxford Preparatory Academy - Middle
30,10306,0142224,California Republic Leadership Academy Capistrano
30,10306,0142570,California Republic Leadership Academy Yorba Linda
30,10306,3030723,OCSA
30,66423,0131417,Vibrant Minds Charter
30,66423,6027379,Palm Lane Global Academy
30,66464,0106765,California Online Public Schools Southern California
30,66464,0123729,Community Roots Academy
30,66464,0124743,Oxford Preparatory Academy - South Orange County
30,66464,0140061,OCASA College Prep
30,66464,6117758,Journey
30,66464,6120356,Opportunities for Learning - Capistrano
30,66530,0134221,Kinetic Academy
30,66621,6085328,Santiago Charter Middle
30,66621,6094874,El Rancho Charter
30,66647,6068621,Orange County School of Computer Science
30,66670,0101626,Edward B. Cole Academy
30,66670,0106567,Nova Academy Early College High
30,66670,0109066,Orange County Educational Arts Academy
30,66670,0135897,Advanced Learning Academy
30,66670,6119127,El Sol Santa Ana Science and Arts Academy
30,73650,0142232,Irvine Chinese Immersion Academy
30,76893,0130765,Magnolia Science Academy Santa Ana
31,10314,0126904,Placer County Pathways Charter
31,66761,6031009,Bowman Charter
31,66787,0126664,Alta Vista Community Charter
31,66845,0117150,Loomis Basin Charter
31,66852,0109827,Newcastle Charter
31,66852,0120105,Creekside Charter
31,66852,0121608,Harvest Ridge Cooperative Charter
31,66852,0127928,Rocklin Academy Gateway
31,66894,0138081,Maidu Virtual Charter Academy
31,66928,0121418,John Adams Academy - Roseville
31,66928,0141622,New Pacific Charter - Roseville
31,66944,0121624,Sierra Expeditionary Learning
31,66951,0135871,John Adams Academy - Lincoln
31,66951,3130168,Horizon Charter
31,75085,0117879,Maria Montessori Charter Academy
31,75085,0119487,Western Sierra Collegiate Academy
31,75085,6118392,Rocklin Academy
32,66969,3230083,Plumas Charter
33,10330,0110833,River Springs Charter
33,10330,0125237,Leadership Military Academy
33,10330,0125385,"Imagine Schools, Riverside County"
33,10330,0128397,CBK Charter
33,10330,0128777,Gateway College and Career Academy
33,10330,0136168,Temecula International Academy
33,10330,0137836,Pivot Charter School Riverside
